Checked,Index,Unique ID,Output Date/Time,Agency,Site Name,Page Name,URL,Page View URL,Last Two - Side by Side,Latest to Base - Side by Side,Date Found - Latest,Date Found - Base,Diff length,Diff hash,Who Found This?,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,Choose from drop down menu,,Leave blank (used on Patterns sheet),Further Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2412,c0220433-2aec-4a54-8fa1-cad29a9abe51,2017-02-03 12:50:30 -0500,DOE,DOE - eia.gov,"Electricity in the United States - Energy Explained, Your Guide To Understanding Energy - Energy Information Administration",www.eia.gov/energy_in_brief/article/fuel_mix_for_elect_generation.cfm,https://versionista.com/74283/6215671/,https://versionista.com/74283/6215671/9730134:0/,https://versionista.com/74283/6215671/9730134:9444788/,2/3/2017 8:05:00,1/17/2017 14:23:00,,,Madelaine,,y,y,y,,,,,,,,,y,y,y,,,,,,,"Entire webpage has changed, content altered and softened, language more supportive of fossil fuel industry","Already reported on (10, 10b)",State's Rights ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2413,5de57d85-38ad-48b8-be6d-badb5fb01491,2017-02-03 12:50:30 -0500,DOE,DOE - eia.gov,"Coal and the Environment - Energy Explained, Your Guide To Understanding Energy - Energy Information Administration",www.eia.gov/energyexplained/index.cfm?page=coal_environment,https://versionista.com/74283/6215343/,https://versionista.com/74283/6215343/9728959:0/,https://versionista.com/74283/6215343/9728959:9442281/,2/3/2017 6:29:00,1/17/2017 12:04:00,,,Madelaine,,y,y,y,,,,,,,,,y,y,y,,,,,,,"Entire webpage has changed, content altered and softened, language more supportive of fossil fuel industry","Already reported on (10, 10b)",Nonpoint Pollution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2416,939113c1-f2cf-455e-8a11-637c0317e360,2017-02-03 12:50:32 -0500,DOE,DOE - eia.gov,"Biomass and the Environment - Energy Explained, Your Guide To Understanding Energy - Energy Information Administration",www.eia.gov/energyexplained/index.cfm?page=biomass_environment,https://versionista.com/74283/6215281/,https://versionista.com/74283/6215281/9727060:0/,https://versionista.com/74283/6215281/9727060:9439339/,2/3/2017 3:43:00,1/17/2017 10:05:00,,,Madelaine,,y,,y,,,,,,,,,y,y,y,,,,,,,"Content removal, link removal, language change/deletions and additions throughout webpage - see ""text changes"" ","Already reported on (10, 10b)",Health ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2417,1805771b-8547-403a-85a2-37ebfa33d7d4,2017-02-03 12:50:33 -0500,DOE,DOE - eia.gov,"Oil and the Environment - Energy Explained, Your Guide To Understanding Energy - Energy Information Administration",www.eia.gov/energyexplained/index.cfm?page=oil_environment,https://versionista.com/74283/6215448/,https://versionista.com/74283/6215448/9723692:0/,https://versionista.com/74283/6215448/9723692:9433618/,2/2/2017 23:04:00,1/17/2017 6:05:00,,,Madelaine,,y,y,y,,,,,,,,,y,y,y,,,,,,,"Content removal, link removal, language change/deletions and additions throughout webpage - see ""text changes"" ","Already reported on (10, 10b)",Role of Science/Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2420,dfc084d2-1cd5-4f15-bea0-54b76c1081c5,2017-02-03 12:50:35 -0500,DOE,DOE - eia.gov,"Where Our Oil Comes From - Energy Explained, Your Guide To Understanding Energy - Energy Information Administration",www.eia.gov/energy_in_brief/article/world_oil_market.cfm,https://versionista.com/74283/6215393/,https://versionista.com/74283/6215393/9712389:0/,https://versionista.com/74283/6215393/9712389:9443516/,2/2/2017 8:17:00,1/17/2017 13:08:00,,,Madelaine,,y,y,y,,,,,,,,,y,y,y,,,,,,,"Entire webpage has changed, links removed, content altered and softened, language more supportive of fossil fuel industry","Already reported on (10, 10b)",International,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2421,69c5bd8e-812f-4598-a43c-860b1858e9bf,2017-02-03 12:50:36 -0500,DOE,DOE - eia.gov,"Where Our Natural Gas Comes From - Energy Explained, Your Guide To Understanding Energy - Energy Information Administration",www.eia.gov/energy_in_brief/article/shale_in_the_united_states.cfm,https://versionista.com/74283/6215402/,https://versionista.com/74283/6215402/9696203:0/,https://versionista.com/74283/6215402/9696203:9443762/,2/1/2017 9:57:00,1/17/2017 13:21:00,,,Madelaine,,y,y,y,,,,,,,,,y,y,y,,,,,,,"Entire webpage has changed, links removed, content altered and softened, data changed language more supportive of fossil fuel industry","Already reported on (10, 10b)",Regulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2422,6dfeb59b-9675-493a-9cbd-1f39ca2ea5d2,2017-02-03 12:50:36 -0500,DOE,DOE - eia.gov,"Home - Energy Explained, Your Guide To Understanding Energy - Energy Information Administration",www.eia.gov/energy_in_brief/images/charts/us_energy_related_carbon_dioxide_emissions_major_fuel-large.png,https://versionista.com/74283/6215676/,https://versionista.com/74283/6215676/9695418:0/,https://versionista.com/74283/6215676/9695418:9444742/,2/1/2017 9:09:00,1/17/2017 14:20:00,,,Madelaine,,y,y,y,,y,,,,,,,y,y,y,y,,,,,,"Entire webpage has changed, links removed, content altered and softened, data changed language more supportive of fossil fuel industry","Already reported on (10, 10b)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2429,17cf9f86-803c-440c-9dfa-4bd5e6e549da,2017-02-03 12:50:44 -0500,DOE,DOE - eia.gov,"How Electricity Is Delivered To Consumers - Energy Explained, Your Guide To Understanding Energy - Energy Information Administration",www.eia.gov/energy_in_brief/article/power_grid.cfm,https://versionista.com/74283/6215692/,https://versionista.com/74283/6215692/9688017:0/,https://versionista.com/74283/6215692/9688017:9433503/,1/31/2017 23:58:00,1/17/2017 6:00:00,,,Madelaine,,y,y,y,,y,,,,,,,y,y,y,y,,,,,,"Entire webpage content has changed, removal of images ","Already reported on (10, 10b)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2433,29961bfa-d87d-4614-a465-a780887db921,2017-02-03 12:50:46 -0500,DOE,DOE - eia.gov,"Use of Coal - Energy Explained, Your Guide To Understanding Energy - Energy Information Administration",www.eia.gov/energy_in_brief/article/role_coal_us.cfm,https://versionista.com/74283/6215685/,https://versionista.com/74283/6215685/9687212:0/,https://versionista.com/74283/6215685/9687212:9433122/,1/31/2017 22:57:00,1/17/2017 5:43:00,,,Madelaine,,y,y,y,,y,,,,,,,y,y,y,y,,,,,,"Entire webpage content has changed, removal of images","Already reported on (10, 10b)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2976,d12e71e2-00dc-48b4-82ce-66cae7884052,2017-02-07 00:32:01 -0500,OSHA,OSHA - osha.gov,Safety and Health Topics | Workplace Violence | Occupational Safety and Health Administration,https://www.osha.gov/SLTC/workplaceviolence/,https://versionista.com/74340/6227400/,https://versionista.com/74340/6227400/9762889:0/,https://versionista.com/74340/6227400/9762889:9497458/,2/5/2017 17:45:00,1/20/2017 0:56:00,,,Madelaine,,y,,y,,y,,,,,,,,y,y,y,,,,,,Removal of Enforcement Procedures for Investigating or Inspecting Workplace Violence Incidents,Need to check accessibility of reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2978,bd262586-bdde-415f-96db-98894c670c70,2017-02-07 00:32:04 -0500,OSHA,OSHA - osha.gov,News Releases | Occupational Safety and Health Administration,https://www.osha.gov/newsrelease.html,https://versionista.com/74340/6227401/,https://versionista.com/74340/6227401/9762808:0/,https://versionista.com/74340/6227401/9762808:9496810/,2/5/2017 17:35:00,1/19/2017 23:52:00,,,Madelaine,,y,,y,y,,,,,,,,y,y,y,y,,,,Accessibility (decrease) ,,Removal of Archive Data ,Need to check where archive is accessible now (if at all),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
