Subprimer,Office Code,id_agency,id_subagency,id_org,id_suborg,subprimer_line_num,assigned_indiv,seeding_complete,Date,Event,Comments,is_office
OSHAELP: Federal Agency Programs,416000015,4,16,0,0,15,,0,,,,
OSHAELP: Complaints,416000016,4,16,0,0,16,,0,,,,
Enforcement Data Portal,416000017,4,16,0,0,17,,0,,,,
Science Mission Directorate: Earth Science,#VALUE!,,Each mission will have an individual code,,,,,27/27,,,,1
Suomi National Polar-orbiting Partnership,501010301,5,1,1,3,1,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Landsat Data Continuity Mission ,501010402,5,1,1,4,2,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
CLARREO,501010103,5,1,1,1,3,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Aquarius,501010204,5,1,1,2,4,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Global Precipitation Measurement,501010505,5,1,1,5,5,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Soil Moisture Active-Passive,501010606,5,1,1,6,6,,1,1/27-1/28,A2 Datarescue,,
"Ice, Cloud and land Elevation Satellite",501010707,5,1,1,7,7,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Hyperspectral Infrared Imager,501010808,5,1,1,8,8,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
"Active Sensing of CO2Emissions Over Nights, Days, and Seasons",501010909,5,1,1,9,9,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Surface Water and Topography,501011010,5,1,1,10,10,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Geostationary Coastal and Air Pollution Events,501011111,5,1,1,11,11,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Orbiting Carbon Observatory-2 ,501011412,5,1,1,14,12,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Stratospheric Aerosol and Gas Experiment ? III,501011513,5,1,1,15,13,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Earth Venture Missions,501011314,5,1,1,13,14,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Aerosol-Clouds-Ecosystems,501011215,5,1,1,12,15,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Gravity Recovery and Climate Experiment Follow-on,501011616,5,1,1,16,16,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
"Plankton, Aerosol, Cloud, ocean Ecosystem",501011717,5,1,1,17,17,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Programs: Research and Analysis,501020118,5,1,2,1,18,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Applied Science,501020219,5,1,2,2,19,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Airborne Science Program,501020320,5,1,2,3,20,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Technology Office,501020421,5,1,2,4,21,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Addressing Global Challenges Programs,501040022,5,1,4,0,22,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Earth Observing System Data and Information System,501030123,5,1,3,1,23,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
CloudSat Data Processing Center,501030224,5,1,3,2,24,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
LASP Solar Irradiance Data Center,501030325,5,1,3,3,25,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Precipitation Processing System,501030426,5,1,3,4,26,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Global Climate Change,501000027,5,1,0,0,27,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Sciences and Exploration Directorate: Earth Sciences,#VALUE!,,Each mission will have an individual code,,,,,14/14,,,,1
Global Modeling and Assimilitation Office,601010001,6,1,1,0,1,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Global Change Data Center,601020002,6,1,2,0,2,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Field Support Office,601030003,6,1,3,0,3,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Goddard Applied Sciences,601140004,6,1,14,0,4,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Goddard Institute for Space Sciences,601040005,6,1,4,0,5,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Mesocale Atmospheric Processes Laboratory,601050006,6,1,5,0,6,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Climate and Radiation Laboratory,601060007,6,1,6,0,7,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Atmospheric Chemstiry and Dnamics Laboratory,601070008,6,1,7,0,8,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Cryospheric Sciences Laboratory,601080009,6,1,8,0,9,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Ocean Ecology Laboratory,601090010,6,1,9,0,10,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Hydrological Sciences Laboroaty,601100011,6,1,10,0,11,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Biospheric Sceiences Laboroatry,601110012,6,1,11,0,12,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Terrestiral Information Systems Lab,601120013,6,1,12,0,13,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Geodesy and Geophsycs Lab,601130014,6,1,13,0,14,,1,1/27-1/28,A2 Datarescue,"Also at DataRescue SF, 2/11",
Bureau of Land Management,804010000,8,4,1,0,,,30/30,,,,1
Laws and Regulations,804010001,8,4,1,0,1,,1,4-Feb,DataRescue NYC,,
Land Planning and the National Environmental Policy Act (NEPA),804010002,8,4,1,0,2,,1,4-Feb,DataRescue NYC,,
Wild Horse and Burro,804010003,8,4,1,0,3,,1,4-Feb,DataRescue NYC,,
Lands and Realty,804010004,8,4,1,0,4,,1,4-Feb,DataRescue NYC,,
Public Safety and Fire,804010005,8,4,1,0,5,,1,4-Feb,DataRescue NYC,,
Cultural Heritage and Paleontology,804010006,8,4,1,0,6,,1,4-Feb,DataRescue NYC,,
Natural Resources,804010007,8,4,1,0,7,,1,4-Feb,DataRescue NYC,,
Fish and Wildlife,804010008,8,4,1,0,8,,1,4-Feb,DataRescue NYC,,
Energy and Minerals: Renewable Energy,804010009,8,4,1,0,9,,1,4-Feb,DataRescue NYC,,
Energy and Minerals: Oil and Gas ,804010010,8,4,1,0,10,,1,4-Feb,DataRescue NYC,,
Energy and Minerals: Coal,804010011,8,4,1,0,11,,1,4-Feb,DataRescue NYC,,
Energy and Minerals: Mining and Minerals ,804010012,8,4,1,0,12,,1,4-Feb,DataRescue NYC,,
Energy and Minerals: Helium,804010013,8,4,1,0,13,,1,4-Feb,DataRescue NYC,,
National Conservation Lands ,804010014,8,4,1,0,14,,1,4-Feb,DataRescue NYC,,
Alaska,804010015,8,4,1,0,15,,1,4-Feb,DataRescue NYC,,
Arizona,804010016,8,4,1,0,16,,1,4-Feb,DataRescue NYC,,
California,804010017,8,4,1,0,17,,1,4-Feb,DataRescue NYC,,
Colorado,804010018,8,4,1,0,18,,1,4-Feb,DataRescue NYC,,
Eastern States,804010019,8,4,1,0,19,,1,4-Feb,DataRescue NYC,,
Idaho,804010020,8,4,1,0,20,,1,4-Feb,DataRescue NYC,,
Montana-Dakotas,804010021,8,4,1,0,21,,1,4-Feb,DataRescue NYC,,
Nevada,804010022,8,4,1,0,22,,1,4-Feb,DataRescue NYC,,
New Mexico,804010023,8,4,1,0,23,,1,4-Feb,DataRescue NYC,,
Oregon-Washington,804010024,8,4,1,0,24,,1,4-Feb,DataRescue NYC,,
Utah,804010025,8,4,1,0,25,,1,4-Feb,DataRescue NYC,,
Wyoming,804010026,8,4,1,0,26,,1,4-Feb,DataRescue NYC,,
Land Records,804010027,8,4,1,0,27,,1,4-Feb,DataRescue NYC,,
Landscape Approach Portal,804010028,8,4,1,0,28,,1,4-Feb,DataRescue NYC,,
Socioeconomics Program,804010029,8,4,1,0,29,,1,4-Feb,DataRescue NYC,,
Freedom of Information Act (FOIA) Program,804010030,8,4,1,0,30,,1,4-Feb,DataRescue NYC,,
Office of Surface Mining Reclamation and Enforcement,804020000,8,4,2,0,,,0/19,,,,1
Coal Mine Regulation Programs,804020001,8,4,2,0,1,,0,,,,
Technology Development and Transfer Programs,804020002,8,4,2,0,2,,0,,,,
Abandoned Mine Land Reclamation Programs,804020003,8,4,2,0,3,,0,,,,
Applicant Violator System,804020004,8,4,2,0,4,,0,,,,
Bonding Program,804020005,8,4,2,0,5,,0,,,,
Federal Lands Program,804020006,8,4,2,0,6,,0,,,,
Indian Lands Program,804020007,8,4,2,0,7,,0,,,,
National Technology Transfer Team,804020008,8,4,2,0,8,,0,,,,
State Tribal Oversight Program,804020009,8,4,2,0,9,,0,,,,
Technical Discipline Support,804020010,8,4,2,0,10,,0,,,,
Grants,804020011,8,4,2,0,11,,0,,,,
Training Programs,804020012,8,4,2,0,12,,0,,,,
Laws and Regulations,804020013,8,4,2,0,13,,0,,,,
Resources and Library,804020014,8,4,2,0,14,,0,,,,
Tribal Partners,804020015,8,4,2,0,15,,0,,,,
Initiatives,804020016,8,4,2,0,16,,0,,,,
Appalachian Region,804020017,8,4,2,0,17,,0,,,,
Midcontinent Region,804020018,8,4,2,0,18,,0,,,,
Western Region,804020019,8,4,2,0,19,,0,,,,
