Subprimer,Office Code,id_agency,id_subagency,id_org,id_suborg,subprimer_line_num,assigned_indiv,seeding_complete,Date,Event,Comments,is_office
National Wind Technology Center,206100021,2,6,10,0,21,,1,1/27-1/28,A2 Datarescue,,
Research Collaborations,206100019,2,6,10,0,19,,1,1/27-1/36,A2 Datarescue,,
Research Facilities,206100026,2,6,10,0,26,,0,,,,
Research: Bioenergy,206100001,2,6,10,0,1,,1,1/27-1/28,A2 Datarescue,,
Research: Buildigs Efficiency,206100006,2,6,10,0,6,,1,1/27-1/33,A2 Datarescue,,
Research: Chemistry and Nanoscience,206100007,2,6,10,0,7,,1,1/27-1/34,A2 Datarescue,,
Research: Computational Science,206100008,2,6,10,0,8,,1,1/27-1/35,A2 Datarescue,,
Research: Concentrating Solar Power,206100009,2,6,10,0,9,,1,1/27-1/36,A2 Datarescue,,
Research: Energy Analysis,206100010,2,6,10,0,10,,0,,,,
Research: Energy Systems Integration,206100011,2,6,10,0,11,,1,1/27-1/28,A2 Datarescue,,
Research: Geothermal Energy,206100012,2,6,10,0,12,,1,1/27-1/29,A2 Datarescue,,
Research: Grid Modernization,206100013,2,6,10,0,13,,1,1/27-1/30,A2 Datarescue,,
Research: Hydrogen + Fuel Cells,206100014,2,6,10,0,14,,1,1/27-1/31,A2 Datarescue,,
Research: Materials Science,206100015,2,6,10,0,15,,1,1/27-1/32,A2 Datarescue,,
Research: Photovoltaics,206100017,2,6,10,0,17,,1,1/27-1/34,A2 Datarescue,,
Research: Solar,206100002,2,6,10,0,2,,1,1/27-1/29,A2 Datarescue,,
Research: Technology Department,206100016,2,6,10,0,16,,1,1/27-1/33,A2 Datarescue,,
Research: Transportation,206100003,2,6,10,0,3,,1,1/27-1/30,A2 Datarescue,,
Research: Water,206100004,2,6,10,0,4,,1,1/27-1/31,A2 Datarescue,,
Research: Wind,206100005,2,6,10,0,5,,1,1/27-1/32,A2 Datarescue,,
Solar Technology Acceleration Center,206100025,2,6,10,0,25,,0,,,,
Oak Ridge National Laboratory: Clean Energy,206110008,2,6,11,0,8,,1,11-Feb,DataRescue SF,,
Pacific Northwest National Laboratory (PNNL): Energy and Environment [2-6-12-0],206120009,2,6,12,0,9,,0,,,,
PNNL: Atmospheric Sciences and Global Climate Change,206120010,2,6,12,0,10,,0,,,,
Princeton Plasma Physics Laboratory,206130011,2,6,13,0,11,,0,,,,
Savannah River National Lab: Environmental Stewardship,206150018,2,6,15,0,18,,1,11-Feb,DataRescue SF,,
Savannah River: Clean Energy,206150019,2,6,15,0,19,,1,11-Feb,DataRescue SF,,
SLAC National Accelerator Laboratory,206160012,2,6,16,0,12,,0,,,,
Thomas Jefferson National Accelerator Facility,206170013,2,6,17,0,13,,0,,,,
Argonne National Laboratory: Environment,206020001,2,6,2,0,1,,1,11-Feb,DataRescue SF,,
Argonne: Energy,206020002,2,6,2,0,2,,0,,,,
National Labs,206020000,2,6,2,0,,,19-Jul,,,,1
Brookhaven National Laboratory,206030004,2,6,3,0,4,,0,,,,
Fermi National Accelerator Laboratory,206040005,2,6,4,0,5,,0,,,,
Idaho National Lab,206050014,2,6,5,0,14,,1,11-Feb,DataRescue SF,,
Lawrence Berkeley National Laboratory (LBNL): Climate and Ecosystem Sciences Division,206060006,2,6,6,0,6,,1,11-Feb,DataRescue SF,,
LBNL: Energy Geosciences Division,206060007,2,6,6,0,7,,0,,,,
National Energy Technology Lab: Energy Efficiency,206090015,2,6,9,0,15,,0,,,,
National Energy Technology: Energy Analysis,206090016,2,6,9,0,16,,1,11-Feb,DataRescue SF,,
"National Environmental Satellite, Data, and Information Service",303010000,3,3,1,0,,,0/18,,,,1
Comprehensive Large Array-Data Stewardship System (CLASS),303010001,3,3,1,0,1,,0,,,,
National Data Buoy Center,303010002,3,3,1,0,2,,0,,,,
Radar Data,303010003,3,3,1,0,3,,0,,,,
National Operational Model Archive & Distribution System (NOMADS): All Model Datasets,303010004,3,3,1,0,4,,0,,,,
NOMADS: Reanalysis,303010005,3,3,1,0,5,,0,,,,
NOMADS: Numerical Weather Prediction,303010006,3,3,1,0,6,,0,,,,
NOMADS: Ocean Models,303010007,3,3,1,0,7,,0,,,,
NOMADS: Climate Prediction,303010008,3,3,1,0,8,,0,,,,
NOMADS: Derived / Other Model Data,303010009,3,3,1,0,9,,0,,,,
NOAA View Data Exploration Tool (primarily non-web crawlable information),303010010,3,3,1,0,10,,0,,,,
Data Snapshots Tool (primarily non-web crawlable information),303010011,3,3,1,0,11,,0,,,,
Office of Satellite Ground Services,303010012,3,3,1,0,12,,0,,,,
Office of Satellite and Product Operations,303010013,3,3,1,0,13,,0,,,,
Center for Satellite Applications and Research,303010014,3,3,1,0,14,,0,,,,
GOES-R Series Program Office (links to a NASA/NOAA collaboration),303010015,3,3,1,0,15,,0,,,,
Joint Polar Satellite System Office (links to a NASA/NOAA collaboration),303010016,3,3,1,0,16,,0,,,,
Office of Space Commerce,303010017,3,3,1,0,17,,0,,,,
International and Interagency Affairs Office,303010018,3,3,1,0,18,,0,,,,
National Marine Fisheries Service,303020000,3,3,2,0,,,25/26,1/14/2017,DataRescue Philly,,1
Office of Habitat Conservation,303020001,3,3,2,0,1,,1,1/14/2017,DataRescue Philly,,
Office of Protected Resources,303020002,3,3,2,0,2,,1,1/14/2017,DataRescue Philly,,
